MATCH_SCORE,MATCH_TIER,MATCH_CAPABILITY,MATCH_NAICS,MATCH_PSC,MATCH_CERT,MATCH_REASONS,MATCH_CAP,record_id,Source_Organization,Source_File,Source_Sheet,Processing_Date,Requirement Title,Requirement Description,Associated Program or Requirement Office,Anticipated Procurement Method,Anticipated Contract Type,Anticipated Procurement Instrument,Anticipated Solicitation FY,Anticipated Solicitation Quarter,Anticipated Award FY,Anticipated Award Quarter,Anticipated Period of Performance (Months),Anticipated NAICS Code,Anticipated PSC,Anticipated Place of Performance,Follow-on or New,Existing Contract Number,Incumbent Contractor,Contracting Office UIC,Contracting POC Name,Contracting POC Contact,Secondary POC Name,Secondary POC Contact,Anticipated Facilities Clearance,Anticipated Personnel Clearance,Anticipated Total Value (Millions),value_min_millions,value_max_millions,value_source,value_confidence,Comments,PALT Code,Sub PALT Code,qc_fy_unparsed,qc_qtr_unparsed,qc_value_open_ended,qc_value_missing,qc_uic_suspect,id,title,description,work_type,agency,source_org,naics,psc,set_aside,required_clearance,rfp_fy,rfp_quarter,award_fy,award_quarter,place_of_performance,follow_on,incumbent,contracting_office,est_value_min,est_value_max,anticipated_value
0.914,A,0.94,1.0,0.5,1.0,Strong capability match (94%); NAICS alignment (100%),1.0,e75e24ea0dd9a31e,NAVSUP,NAVSUP_NMCARS_LRAE_compiled.tsv,Annex 25 Template,2025-08-26,PHYSICAL ENVIROMENTAL & CYBER SYSTEMS,PHYSICAL ENVIROMENTAL & CYBER SYSTEMS,NAVAL OBSERVATORY,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER,2025,Q3,2026,Q1,,541990,R405,DC,Follow-on,N0018925F0206,COMPUTATIONAL PHYSICS  INC.,N00189,CAITLIN KING,caitlin.d.king2.civ@us.navy.mil,CAITLIN KING,caitlin.d.king2.civ@us.navy.mil,TBD,TBD,2.0,2.0,2.0,numeric_millions,exact,,,,False,False,False,False,False,e75e24ea0dd9a31e,PHYSICAL ENVIROMENTAL & CYBER SYSTEMS,PHYSICAL ENVIROMENTAL & CYBER SYSTEMS,PHYSICAL ENVIROMENTAL & CYBER SYSTEMS,NAVAL OBSERVATORY,NAVSUP,541990,R405,FULL AND OPEN COMPETITION,TBD,2025,Q3,2026,Q1,DC,Follow-on,COMPUTATIONAL PHYSICS  INC.,N00189,2.0,2.0,2.0
0.878,A,0.88,1.0,0.5,1.0,Strong capability match (88%); NAICS alignment (100%),1.0,efd24805a6ba6525,NAVSUP,NAVSUP_NMCARS_LRAE_compiled.tsv,Annex 25 Template,2025-08-26,BUSINESS MANAGEMENT SPT FOR DTO,BUSINESS MANAGEMENT SPT FOR DTO,CHIEF OF NAVAL OPERATIONS,FULL AND OPEN COMPETITION,COST PLUS FIXED FEE,DELIVERY ORDER,2025,Q3,2026,Q1,,541611,R408,DC,Follow-on,N0018925FZ041,DELOITTE CONSULTING LLP,N00189,MATTHEW FORSYTHE,matthew.r.forsythe.civ@us.navy.mil,ALEXSIS MORGAN,alexsis.d.morgan.civ@us.navy.mil,TBD,TBD,50.0,50.0,50.0,numeric_millions,exact,,,,False,False,False,False,False,efd24805a6ba6525,BUSINESS MANAGEMENT SPT FOR DTO,BUSINESS MANAGEMENT SPT FOR DTO,BUSINESS MANAGEMENT SPT FOR DTO,CHIEF OF NAVAL OPERATIONS,NAVSUP,541611,R408,FULL AND OPEN COMPETITION,TBD,2025,Q3,2026,Q1,DC,Follow-on,DELOITTE CONSULTING LLP,N00189,50.0,50.0,50.0
0.878,A,0.88,1.0,0.5,1.0,Strong capability match (88%); NAICS alignment (100%),1.0,c2c938b404c4c870,NAVSUP,NAVSUP_NMCARS_LRAE_compiled.tsv,Annex 25 Template,2025-08-26,BUSINESS MANAGEMENT SPT FOR DTO,BUSINESS MANAGEMENT SPT FOR DTO,WASHINGTON HEADQUARTERS SERVICES,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER,2027,Q1,2027,Q4,,541611,R408,DC,Follow-on,N0018924FZ407,DELOITTE CONSULTING LLP,N00189,MATTHEW FORSYTHE,matthew.r.forsythe.civ@us.navy.mil,MARK DAMANSKIS,mark.d.damanskis.civ@us.navy.mil,TBD,TBD,7.5,7.5,7.5,numeric_millions,exact,,,,False,False,False,False,False,c2c938b404c4c870,BUSINESS MANAGEMENT SPT FOR DTO,BUSINESS MANAGEMENT SPT FOR DTO,BUSINESS MANAGEMENT SPT FOR DTO,WASHINGTON HEADQUARTERS SERVICES,NAVSUP,541611,R408,FULL AND OPEN COMPETITION,TBD,2027,Q1,2027,Q4,DC,Follow-on,DELOITTE CONSULTING LLP,N00189,7.5,7.5,7.5
0.872,A,0.787,1.0,1.0,1.0,Strong capability match (79%); NAICS alignment (100%); PSC match (100%),1.0,8d7c77c2dc9176d6,HQMC,HQMC_compiled_data.tsv,MCICOM HQ,2025-08-28,EEO Investigation Services,"DON and its subordinate activities are required to investigate complaints within 180 days of the date a formal EEO comnplaint is filed. Untimely investigatons subject the DON to liability. Periodically, the activity needs to use properly qualified contractors to augmnet organic capabilities.",CMC,Full and Open Competition,Fixed-Price,Purchase Order,TBD,TBD,TBD,TBD,,541611 - ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,R499 - SUPPORT- PROFESSIONAL: OTHER,"Arlington, VA",New,,,M95494,Dave Godfrey,david.godfrey@usmc.mil,Tom Johnston,john.t.johnston2@usmc.mil,TBD,TBD,,0.0,2.0,open_ended_below,open_ended,,,,True,True,True,False,False,8d7c77c2dc9176d6,EEO Investigation Services,"DON and its subordinate activities are required to investigate complaints within 180 days of the date a formal EEO comnplaint is filed. Untimely investigatons subject the DON to liability. Periodically, the activity needs to use properly qualified contractors to augmnet organic capabilities.","DON and its subordinate activities are required to investigate complaints within 180 days of the date a formal EEO comnplaint is filed. Untimely investigatons subject the DON to liability. Periodically, the activity needs to use properly qualified contractors to augmnet organic capabilities.",CMC,HQMC,541611,R499,Full and Open Competition,TBD,TBD,TBD,TBD,TBD,"Arlington, VA",New,nan,M95494,0.0,2.0,0.0
0.862,A,0.769,1.0,1.0,1.0,Strong capability match (77%); NAICS alignment (100%); PSC match (100%),1.0,3c84922441bb989d,HQMC,HQMC_compiled_data.tsv,MCINCR,2025-08-28,ART APPRAISAL,"The contractor will provide background information on each artist and painting, along with research methodology used to establish values, full description of each work appraised along with image and value. The contractor will be tasked with appraising artworks from the approximately 9,000+ original works of art, period lithographs, rare posters, two (2) dimensional images, and three (3) dimensional sculptures for insurance purposes.",M30400 Museum (NMMC),Small Business Set-Aside,Fixed-Price,Single-Award Indefinite-Delivery,2025,Q3,2026,Q2,60,"541990 - ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",R499,"Triangle, VA",New,M0026420P0153,"ART APPRAISAL FIRM, LLC",M00264,Molly Henderson,molly.henderson@usmc.mil,John Johnston (Tom),john.t.johnston2@usmc.mil,TBD,TBD,,0.0,2.0,open_ended_below,open_ended,,,,False,False,True,False,False,3c84922441bb989d,ART APPRAISAL,"The contractor will provide background information on each artist and painting, along with research methodology used to establish values, full description of each work appraised along with image and value. The contractor will be tasked with appraising artworks from the approximately 9,000+ original works of art, period lithographs, rare posters, two (2) dimensional images, and three (3) dimensional sculptures for insurance purposes.","The contractor will provide background information on each artist and painting, along with research methodology used to establish values, full description of each work appraised along with image and value. The contractor will be tasked with appraising artworks from the approximately 9,000+ original works of art, period lithographs, rare posters, two (2) dimensional images, and three (3) dimensional sculptures for insurance purposes.",M30400 Museum (NMMC),HQMC,541990,R499,Small Business Set-Aside,TBD,2025,Q3,2026,Q2,"Triangle, VA",New,"ART APPRAISAL FIRM, LLC",M00264,0.0,2.0,0.0
0.847,A,0.829,1.0,0.5,1.0,Strong capability match (83%); NAICS alignment (100%),1.0,645771632bba8c55,HQMC,HQMC_compiled_data.tsv,MCIEAST,2025-08-28,Distribution Modernization Services,Contractor will evaluate and provide recommendations on distribution management (transportation) processes and procedures,MCBCampLejeuneG-6,Full and Open Competition,Fixed-Price,Purchase Order,2029,Q2,2029,Q3,48,541611,R699,"MCB Camp Lejeune, Jacksonville, NC",Follow-on,M6700124P0013,TranstecsCorporation,M67001,Chris Rabassi,chris.rabassi@usmc.mil,Chris Rabassi,chris.rabassi@usmc.mil,TBD,TBD,,0.0,2.0,open_ended_below,open_ended,,,,False,False,True,False,False,645771632bba8c55,Distribution Modernization Services,Contractor will evaluate and provide recommendations on distribution management (transportation) processes and procedures,Contractor will evaluate and provide recommendations on distribution management (transportation) processes and procedures,MCBCampLejeuneG-6,HQMC,541611,R699,Full and Open Competition,TBD,2029,Q2,2029,Q3,"MCB Camp Lejeune, Jacksonville, NC",Follow-on,TranstecsCorporation,M67001,0.0,2.0,0.0
0.838,A,0.812,1.0,0.5,1.0,Strong capability match (81%); NAICS alignment (100%),1.0,4a55804b25d84874,NAVSUP,NAVSUP_NMCARS_LRAE_compiled.tsv,Annex 25 Template,2025-08-26,Advisory and Assistance Services,Administrative Management and General Management Consulting Services,NAVSUP FLCPH / CNRH,8(a) Competitive,Fixed-Price,"""C"" Type Contract",2025,Q4,2026,Q1,24,541611,R799,JBPHH,Follow-on,N0060422C0005,Brice Solutions LLC,N00604 NAVSUP FLCPH,Liane Pekelo-passmore,liane.m.pekelo-passmore.civ@us.navy.mil,Jeen Chu,jeen.h.chu.civ@us.navy.mil,TBD,TBD,50.0,50.0,50.0,numeric_millions,exact,,,,False,False,False,False,False,4a55804b25d84874,Advisory and Assistance Services,Administrative Management and General Management Consulting Services,Administrative Management and General Management Consulting Services,NAVSUP FLCPH / CNRH,NAVSUP,541611,R799,8(a) Competitive,TBD,2025,Q4,2026,Q1,JBPHH,Follow-on,Brice Solutions LLC,N00604 NAVSUP FLCPH,50.0,50.0,50.0
0.83,A,0.8,1.0,0.5,1.0,Strong capability match (80%); NAICS alignment (100%),1.0,c2f19869ce932a44,HQMC,HQMC_compiled_data.tsv,LOGCOM,2025-08-28,Multi echelon optimization II,SECREP enterprise inventory management and optimization,Supply Chain Management Center,Sole-Source,Fixed-Price,Purchase Order,2025,Q1,2025,Q3,48,541990,R706,,New,,,M67004,Steven Wynne,steven.wynne@usmc.mil,Terry Whitaker,terry.l.whitaker@usmc.mil,TBD,TBD,28.75,7.5,50.0,explicit_range,range_midpoint,,,,False,False,False,False,False,c2f19869ce932a44,Multi echelon optimization II,SECREP enterprise inventory management and optimization,SECREP enterprise inventory management and optimization,Supply Chain Management Center,HQMC,541990,R706,Sole-Source,TBD,2025,Q1,2025,Q3,nan,New,nan,M67004,7.5,50.0,28.75
0.828,A,0.88,1.0,0.0,1.0,Strong capability match (88%); NAICS alignment (100%),1.0,cbeac8c381540db3,NAVSUP,NAVSUP_NMCARS_LRAE_compiled.tsv,Annex 25 Template,2025-08-26,PRIVATE CLOUD EDITION MANAGED SERVICES,PRIVATE CLOUD EDITION MANAGED SERVICES,ASN (FM & C),COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER,2027,Q1,2027,Q4,,541511,7A20,DC,Follow-on,N0018924PZ378,CARAHSOFT TECHNOLOGY CORP,N00189,JOSEPH HAVILAND,joseph.a.haviland2.civ@us.navy.mil,ALLISON MILLER,allison.m.miller38.civ@us.navy.mil,TBD,TBD,2.0,2.0,2.0,numeric_millions,exact,,,,False,False,False,False,False,cbeac8c381540db3,PRIVATE CLOUD EDITION MANAGED SERVICES,PRIVATE CLOUD EDITION MANAGED SERVICES,PRIVATE CLOUD EDITION MANAGED SERVICES,ASN (FM & C),NAVSUP,541511,7A20,COMPETED UNDER SAP,TBD,2027,Q1,2027,Q4,DC,Follow-on,CARAHSOFT TECHNOLOGY CORP,N00189,2.0,2.0,2.0
0.826,A,0.794,1.0,0.5,1.0,Strong capability match (79%); NAICS alignment (100%),1.0,1779167c43699b00,HQMC,HQMC_compiled_data.tsv,MCICOM HQ,2025-08-28,Anti-terrorism Force Protection (ATFP)  Training & Threat Info Sharing,"The AT Program is designed to deter, detect, delay, deny, or defend against acts of terrorism and destructive or potentially destructive events, enhance protection and AT awareness, and assign AT responsibilities for Marine Corps elements and personnel. Diverse and changing threats require the development of a multi- faceted and comprehensive AT program.",PP&O,,Fixed-Price,,2025,Q4,2026,Q1,60,"541990 - ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",R408 - SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,"Arlington, VA",Follow-on,M9549423P0008,"Digital Cloak, Inc.",M95494,Carrie Yearian,carrie.e.yearian.civ@usmc.mil,Tom Johnston,john.t.johnston2@usmc.mil,TBD,TBD,4.75,2.0,7.5,explicit_range,range_midpoint,,,,False,False,False,False,False,1779167c43699b00,Anti-terrorism Force Protection (ATFP)  Training & Threat Info Sharing,"The AT Program is designed to deter, detect, delay, deny, or defend against acts of terrorism and destructive or potentially destructive events, enhance protection and AT awareness, and assign AT responsibilities for Marine Corps elements and personnel. Diverse and changing threats require the development of a multi- faceted and comprehensive AT program.","The AT Program is designed to deter, detect, delay, deny, or defend against acts of terrorism and destructive or potentially destructive events, enhance protection and AT awareness, and assign AT responsibilities for Marine Corps elements and personnel. Diverse and changing threats require the development of a multi- faceted and comprehensive AT program.",PP&O,HQMC,541990,R408,nan,TBD,2025,Q4,2026,Q1,"Arlington, VA",Follow-on,"Digital Cloak, Inc.",M95494,2.0,7.5,4.75
